experiment,sample_name,requested_wavelength_nm,external_band_index,actual_external_wavelength_nm,absolute_difference_nm
PCA 1-band CNN,Caitiannuo No.6__1,491.9,47,491.690002,0.20999799999998459
PCA 1-band CNN,Caitiannuo No.6__2,491.9,47,491.690002,0.20999799999998459
PCA 1-band CNN,Jinxitian__1,491.9,47,491.690002,0.20999799999998459
PCA 1-band CNN,Jinxitian__2,491.9,47,491.690002,0.20999799999998459
PCA 1-band CNN,Mihuatiannuo No.3__1,491.9,47,491.690002,0.20999799999998459
PCA 1-band CNN,Mihuatiannuo No.3__2,491.9,47,491.690002,0.20999799999998459
PCA 1-band CNN,Mitiannuo No.1__1,491.9,47,491.690002,0.20999799999998459
PCA 1-band CNN,Mitiannuo No.1__2,491.9,47,491.690002,0.20999799999998459
PCA 1-band CNN,Mitiannuo No.4__1,491.9,47,491.690002,0.20999799999998459
PCA 1-band CNN,Mitiannuo No.4__2,491.9,47,491.690002,0.20999799999998459
PCA 1-band CNN,Sida No.204__1,491.9,47,491.690002,0.20999799999998459
PCA 1-band CNN,Sida No.204__2,491.9,47,491.690002,0.20999799999998459
PCA 1-band CNN,Sidanuo No.38__1,491.9,47,491.690002,0.20999799999998459
PCA 1-band CNN,Sidanuo No.38__2,491.9,47,491.690002,0.20999799999998459
PCA 1-band CNN,Sidanuo No.44__1,491.9,47,491.690002,0.20999799999998459
PCA 1-band CNN,Sidanuo No.44__2,491.9,47,491.690002,0.20999799999998459
PCA 1-band CNN,Yuecainuo No.2__1,491.9,47,491.690002,0.20999799999998459
PCA 1-band CNN,Yuecainuo No.2__2,491.9,47,491.690002,0.20999799999998459
PCA 1-band CNN,Zhenzhunuo No.8__1,491.9,47,491.690002,0.20999799999998459
PCA 1-band CNN,Zhenzhunuo No.8__2,491.9,47,491.690002,0.20999799999998459
PCA 1-band CNN,Zhuyunuo No.1__1,491.9,47,491.690002,0.20999799999998459
PCA 1-band CNN,Zhuyunuo No.1__2,491.9,47,491.690002,0.20999799999998459
PCA 1-band CNN,Zhuyutian No.1__1,491.9,47,491.690002,0.20999799999998459
VIP 1-band CNN,Caitiannuo No.6__1,497.2,50,498.23999,1.0399899999999889
VIP 1-band CNN,Caitiannuo No.6__2,497.2,50,498.23999,1.0399899999999889
VIP 1-band CNN,Jinxitian__1,497.2,50,498.23999,1.0399899999999889
VIP 1-band CNN,Jinxitian__2,497.2,50,498.23999,1.0399899999999889
VIP 1-band CNN,Mihuatiannuo No.3__1,497.2,50,498.23999,1.0399899999999889
VIP 1-band CNN,Mihuatiannuo No.3__2,497.2,50,498.23999,1.0399899999999889
VIP 1-band CNN,Mitiannuo No.1__1,497.2,50,498.23999,1.0399899999999889
VIP 1-band CNN,Mitiannuo No.1__2,497.2,50,498.23999,1.0399899999999889
VIP 1-band CNN,Mitiannuo No.4__1,497.2,50,498.23999,1.0399899999999889
VIP 1-band CNN,Mitiannuo No.4__2,497.2,50,498.23999,1.0399899999999889
VIP 1-band CNN,Sida No.204__1,497.2,50,498.23999,1.0399899999999889
VIP 1-band CNN,Sida No.204__2,497.2,50,498.23999,1.0399899999999889
VIP 1-band CNN,Sidanuo No.38__1,497.2,50,498.23999,1.0399899999999889
VIP 1-band CNN,Sidanuo No.38__2,497.2,50,498.23999,1.0399899999999889
VIP 1-band CNN,Sidanuo No.44__1,497.2,50,498.23999,1.0399899999999889
VIP 1-band CNN,Sidanuo No.44__2,497.2,50,498.23999,1.0399899999999889
VIP 1-band CNN,Yuecainuo No.2__1,497.2,50,498.23999,1.0399899999999889
VIP 1-band CNN,Yuecainuo No.2__2,497.2,50,498.23999,1.0399899999999889
VIP 1-band CNN,Zhenzhunuo No.8__1,497.2,50,498.23999,1.0399899999999889
VIP 1-band CNN,Zhenzhunuo No.8__2,497.2,50,498.23999,1.0399899999999889
VIP 1-band CNN,Zhuyunuo No.1__1,497.2,50,498.23999,1.0399899999999889
VIP 1-band CNN,Zhuyunuo No.1__2,497.2,50,498.23999,1.0399899999999889
VIP 1-band CNN,Zhuyutian No.1__1,497.2,50,498.23999,1.0399899999999889
PCA 3-band CNN,Caitiannuo No.6__1,491.9,47,491.690002,0.20999799999998459
PCA 3-band CNN,Caitiannuo No.6__1,611.9,103,612.140015,0.24001499999997122
PCA 3-band CNN,Caitiannuo No.6__1,641.6,117,641.849976,0.2499759999999469
PCA 3-band CNN,Caitiannuo No.6__2,491.9,47,491.690002,0.20999799999998459
